No,Country,Latitude,Longitude,Crop,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,41.1533,20.1683,Maize,1990,36613,1485,121,16.37
1,Albania,41.1533,20.1683,Potatoes,1990,66667,1485,121,16.37
2,Albania,41.1533,20.1683,"Rice, paddy",1990,23333,1485,121,16.37
3,Albania,41.1533,20.1683,Sorghum,1990,12500,1485,121,16.37
4,Albania,41.1533,20.1683,Soybeans,1990,7000,1485,121,16.37
5,Albania,41.1533,20.1683,Wheat,1990,30197,1485,121,16.37
81,Albania,41.1533,20.1683,Soybeans,2009,16667,1485,1132.5,16.73
82,Albania,41.1533,20.1683,Wheat,2009,40229,1485,1132.5,16.73
32,Albania,41.1533,20.1683,Potatoes,1996,106138,1485,313.96,15.64
33,Albania,41.1533,20.1683,Soybeans,1996,15480,1485,313.96,15.64
34,Albania,41.1533,20.1683,Wheat,1996,21741,1485,313.96,15.64
15,Albania,41.1533,20.1683,Sorghum,1992,3747,1485,121,16.06
91,Albania,41.1533,20.1683,Maize,2012,67290,1485,766.25,16.7
92,Albania,41.1533,20.1683,Potatoes,2012,250538,1485,766.25,16.7
35,Albania,41.1533,20.1683,Maize,1997,31862,1485,376.93,15.9
95,Albania,41.1533,20.1683,Maize,2013,69533,1485,982.32,17.41
96,Albania,41.1533,20.1683,Potatoes,2013,260110,1485,982.32,17.41
97,Albania,41.1533,20.1683,Soybeans,2013,10000,1485,982.32,17.41
98,Albania,41.1533,20.1683,Wheat,2013,41292,1485,982.32,17.41
77,Albania,41.1533,20.1683,Soybeans,2008,20000,1485,1069.54,16.71
78,Albania,41.1533,20.1683,Wheat,2008,40168,1485,1069.54,16.71
12,Albania,41.1533,20.1683,Maize,1992,24876,1485,121,16.06
13,Albania,41.1533,20.1683,Potatoes,1992,82920,1485,121,16.06
14,Albania,41.1533,20.1683,"Rice, paddy",1992,40000,1485,121,16.06
46,Albania,41.1533,20.1683,Wheat,1999,24954,1485,502.86,16.57
16,Albania,41.1533,20.1683,Soybeans,1992,4507,1485,121,16.06
17,Albania,41.1533,20.1683,Wheat,1992,24388,1485,121,16.06
20,Albania,41.1533,20.1683,"Rice, paddy",1993,41786,1485,121,16.05
21,Albania,41.1533,20.1683,Soybeans,1993,7998,1485,121,16.05
22,Albania,41.1533,20.1683,Wheat,1993,29976,1485,121,16.05
71,Albania,41.1533,20.1683,Maize,2007,46732,1485,1006.57,16.67
83,Albania,41.1533,20.1683,Maize,2010,66790,1485,1311.17,16.52
84,Albania,41.1533,20.1683,Potatoes,2010,231111,1485,1311.17,16.52
23,Albania,41.1533,20.1683,Maize,1994,25848,1485,201,16.96
24,Albania,41.1533,20.1683,Potatoes,1994,81404,1485,201,16.96
25,Albania,41.1533,20.1683,Soybeans,1994,7927,1485,201,16.96
26,Albania,41.1533,20.1683,Wheat,1994,24745,1485,201,16.96
89,Albania,41.1533,20.1683,Soybeans,2011,18519,1485,1302.63,16.45
90,Albania,41.1533,20.1683,Wheat,2011,42301,1485,1302.63,16.45
40,Albania,41.1533,20.1683,Potatoes,1998,127212,1485,439.89,16.27
27,Albania,41.1533,20.1683,Maize,1995,31300,1485,251,15.67
67,Albania,41.1533,20.1683,Maize,2006,50111,1485,943.61,15.92
68,Albania,41.1533,20.1683,Potatoes,2006,170745,1485,943.61,15.92
69,Albania,41.1533,20.1683,Soybeans,2006,20000,1485,943.61,15.92
70,Albania,41.1533,20.1683,Wheat,2006,30787,1485,943.61,15.92
79,Albania,41.1533,20.1683,Maize,2009,55693,1485,1132.5,16.73
80,Albania,41.1533,20.1683,Potatoes,2009,219780,1485,1132.5,16.73
31,Albania,41.1533,20.1683,Maize,1996,32604,1485,313.96,15.64
87,Albania,41.1533,20.1683,Maize,2011,59869,1485,1302.63,16.45
88,Albania,41.1533,20.1683,Potatoes,2011,242211,1485,1302.63,16.45
11,Albania,41.1533,20.1683,Wheat,1991,20698,1485,121,15.36
64,Albania,41.1533,20.1683,Potatoes,2005,167061,1485,880.64,15.67
65,Albania,41.1533,20.1683,Soybeans,2005,17500,1485,880.64,15.67
41,Albania,41.1533,20.1683,Soybeans,1998,14327,1485,439.89,16.27
93,Albania,41.1533,20.1683,Soybeans,2012,13333,1485,766.25,16.7
36,Albania,41.1533,20.1683,Potatoes,1997,109874,1485,376.93,15.9
37,Albania,41.1533,20.1683,Soybeans,1997,12768,1485,376.93,15.9
38,Albania,41.1533,20.1683,Wheat,1997,28516,1485,376.93,15.9
54,Albania,41.1533,20.1683,Wheat,2001,28220,1485,628.79,16.59
76,Albania,41.1533,20.1683,Potatoes,2008,193878,1485,1069.54,16.71
8,Albania,41.1533,20.1683,"Rice, paddy",1991,28538,1485,121,15.36
9,Albania,41.1533,20.1683,Sorghum,1991,6667,1485,121,15.36
10,Albania,41.1533,20.1683,Soybeans,1991,6066,1485,121,15.36
63,Albania,41.1533,20.1683,Maize,2005,45442,1485,880.64,15.67
45,Albania,41.1533,20.1683,Soybeans,1999,17143,1485,502.86,16.57
43,Albania,41.1533,20.1683,Maize,1999,37455,1485,502.86,16.57
66,Albania,41.1533,20.1683,Wheat,2005,31582,1485,880.64,15.67
42,Albania,41.1533,20.1683,Wheat,1998,28037,1485,439.89,16.27
48,Albania,41.1533,20.1683,Potatoes,2000,141228,1485,565.82,16.67
49,Albania,41.1533,20.1683,Soybeans,2000,15000,1485,565.82,16.67
55,Albania,41.1533,20.1683,Maize,2002,39460,1485,691.75,16.47
6,Albania,41.1533,20.1683,Maize,1991,29068,1485,121,15.36
7,Albania,41.1533,20.1683,Potatoes,1991,77818,1485,121,15.36
57,Albania,41.1533,20.1683,Soybeans,2002,20000,1485,691.75,16.47
62,Albania,41.1533,20.1683,Wheat,2004,31130,1485,817.68,16.16
85,Albania,41.1533,20.1683,Soybeans,2010,16667,1485,1311.17,16.52
86,Albania,41.1533,20.1683,Wheat,2010,39905,1485,1311.17,16.52
44,Albania,41.1533,20.1683,Potatoes,1999,142018,1485,502.86,16.57
51,Albania,41.1533,20.1683,Maize,2001,38135,1485,628.79,16.59
50,Albania,41.1533,20.1683,Wheat,2000,30455,1485,565.82,16.67
47,Albania,41.1533,20.1683,Maize,2000,38811,1485,565.82,16.67
19,Albania,41.1533,20.1683,Potatoes,1993,98446,1485,121,16.05
56,Albania,41.1533,20.1683,Potatoes,2002,153868,1485,691.75,16.47
58,Albania,41.1533,20.1683,Wheat,2002,31617,1485,691.75,16.47
60,Albania,41.1533,20.1683,Potatoes,2004,149346,1485,817.68,16.16
75,Albania,41.1533,20.1683,Maize,2008,50000,1485,1069.54,16.71
39,Albania,41.1533,20.1683,Maize,1998,33416,1485,439.89,16.27
30,Albania,41.1533,20.1683,Wheat,1995,28703,1485,251,15.67
61,Albania,41.1533,20.1683,Soybeans,2004,13333,1485,817.68,16.16
74,Albania,41.1533,20.1683,Wheat,2007,35496,1485,1006.57,16.67
59,Albania,41.1533,20.1683,Maize,2004,46197,1485,817.68,16.16
52,Albania,41.1533,20.1683,Potatoes,2001,148818,1485,628.79,16.59
18,Albania,41.1533,20.1683,Maize,1993,24185,1485,121,16.05
72,Albania,41.1533,20.1683,Potatoes,2007,188902,1485,1006.57,16.67
53,Albania,41.1533,20.1683,Soybeans,2001,20000,1485,628.79,16.59
94,Albania,41.1533,20.1683,Wheat,2012,41096,1485,766.25,16.7
73,Albania,41.1533,20.1683,Soybeans,2007,20000,1485,1006.57,16.67
28,Albania,41.1533,20.1683,Potatoes,1995,111323,1485,251,15.67
29,Albania,41.1533,20.1683,Soybeans,1995,11791,1485,251,15.67
130,Algeria,28.0339,1.6596,"Rice, paddy",1996,17861,89,479.77,16.76
121,Algeria,28.0339,1.6596,"Rice, paddy",1994,21374,89,1255.02,17.88
192,Algeria,28.0339,1.6596,Wheat,2009,15975,89,3867.99,17.78
209,Algeria,28.0339,1.6596,Potatoes,2013,303218,89,17278.65,17.65
202,Algeria,28.0339,1.6596,Wheat,2011,17405,89,13861.76,17.79
120,Algeria,28.0339,1.6596,Potatoes,1994,95078,89,1255.02,17.88
174,Algeria,28.0339,1.6596,Potatoes,2006,220689,89,4110.72,18.13
106,Algeria,28.0339,1.6596,"Rice, paddy",1991,26786,89,2461.8,16.26
201,Algeria,28.0339,1.6596,Sorghum,2011,100000,89,13861.76,17.79
128,Algeria,28.0339,1.6596,Maize,1996,17154,89,479.77,16.76
105,Algeria,28.0339,1.6596,Potatoes,1991,90747,89,2461.8,16.26
191,Algeria,28.0339,1.6596,Sorghum,2009,90465,89,3867.99,17.78
197,Algeria,28.0339,1.6596,Wheat,2010,14838,89,1295.88,17.59
109,Algeria,28.0339,1.6596,Maize,1992,22828,89,1215.47,16.27
129,Algeria,28.0339,1.6596,Potatoes,1996,134629,89,479.77,16.76
102,Algeria,28.0339,1.6596,Sorghum,1990,16571,89,1828.92,17.48
103,Algeria,28.0339,1.6596,Wheat,1990,6315,89,1828.92,17.48
208,Algeria,28.0339,1.6596,Maize,2013,33649,89,17278.65,17.65
101,Algeria,28.0339,1.6596,"Rice, paddy",1990,28000,89,1828.92,17.48
162,Algeria,28.0339,1.6596,Wheat,2002,10739,89,816.55,17.85
196,Algeria,28.0339,1.6596,Sorghum,2010,30286,89,1295.88,17.59
119,Algeria,28.0339,1.6596,Maize,1994,4512,89,1255.02,17.88
190,Algeria,28.0339,1.6596,"Rice, paddy",2009,14594,89,3867.99,17.78
110,Algeria,28.0339,1.6596,Potatoes,1992,107917,89,1215.47,16.27
112,Algeria,28.0339,1.6596,Sorghum,1992,40000,89,1215.47,16.27
198,Algeria,28.0339,1.6596,Maize,2011,23374,89,13861.76,17.79
122,Algeria,28.0339,1.6596,Wheat,1994,7999,89,1255.02,17.88
135,Algeria,28.0339,1.6596,"Rice, paddy",1997,15000,89,401.22,17.84
152,Algeria,28.0339,1.6596,Wheat,2000,9194,89,603.67,17.9
188,Algeria,28.0339,1.6596,Maize,2009,30914,89,3867.99,17.78
149,Algeria,28.0339,1.6596,Potatoes,2000,166143,89,603.67,17.9
104,Algeria,28.0339,1.6596,Maize,1991,19231,89,2461.8,16.26
165,Algeria,28.0339,1.6596,"Rice, paddy",2004,12829,89,3747.86,17.38
167,Algeria,28.0339,1.6596,Wheat,2004,13582,89,3747.86,17.38
189,Algeria,28.0339,1.6596,Potatoes,2009,250764,89,3867.99,17.78
199,Algeria,28.0339,1.6596,Potatoes,2011,292806,89,13861.76,17.79
131,Algeria,28.0339,1.6596,Sorghum,1996,14750,89,479.77,16.76
132,Algeria,28.0339,1.6596,Wheat,1996,13090,89,479.77,16.76
182,Algeria,28.0339,1.6596,Wheat,2007,12742,89,5390.79,17.42
133,Algeria,28.0339,1.6596,Maize,1997,21417,89,401.22,17.84
150,Algeria,28.0339,1.6596,"Rice, paddy",2000,13052,89,603.67,17.9
155,Algeria,28.0339,1.6596,"Rice, paddy",2001,12314,89,710.11,18.13
100,Algeria,28.0339,1.6596,Potatoes,1990,78936,89,1828.92,17.48
176,Algeria,28.0339,1.6596,Sorghum,2006,56728,89,4110.72,18.13
177,Algeria,28.0339,1.6596,Wheat,2006,15068,89,4110.72,18.13
186,Algeria,28.0339,1.6596,Sorghum,2008,61786,89,11556.12,17.55
195,Algeria,28.0339,1.6596,"Rice, paddy",2010,15305,89,1295.88,17.59
166,Algeria,28.0339,1.6596,Sorghum,2004,43316,89,3747.86,17.38
145,Algeria,28.0339,1.6596,"Rice, paddy",1999,13942,89,654.45,17.97
200,Algeria,28.0339,1.6596,"Rice, paddy",2011,16081,89,13861.76,17.79
138,Algeria,28.0339,1.6596,Maize,1998,17222,89,322.84,17.14
173,Algeria,28.0339,1.6596,Maize,2006,65668,89,4110.72,18.13
114,Algeria,28.0339,1.6596,Maize,1993,12500,89,1021.89,17
134,Algeria,28.0339,1.6596,Potatoes,1997,141042,89,401.22,17.84
153,Algeria,28.0339,1.6596,Maize,2001,27175,89,710.11,18.13
154,Algeria,28.0339,1.6596,Potatoes,2001,147018,89,710.11,18.13
156,Algeria,28.0339,1.6596,Sorghum,2001,27750,89,710.11,18.13
157,Algeria,28.0339,1.6596,Wheat,2001,11104,89,710.11,18.13
161,Algeria,28.0339,1.6596,Sorghum,2002,33900,89,816.55,17.85
137,Algeria,28.0339,1.6596,Wheat,1997,8016,89,401.22,17.84
187,Algeria,28.0339,1.6596,Wheat,2008,11038,89,11556.12,17.55
118,Algeria,28.0339,1.6596,Wheat,1993,8097,89,1021.89,17
146,Algeria,28.0339,1.6596,Sorghum,1999,27000,89,654.45,17.97
147,Algeria,28.0339,1.6596,Wheat,1999,10711,89,654.45,17.97
111,Algeria,28.0339,1.6596,"Rice, paddy",1992,24733,89,1215.47,16.27
148,Algeria,28.0339,1.6596,Maize,2000,36186,89,603.67,17.9
123,Algeria,28.0339,1.6596,Maize,1995,16115,89,2697.09,17.36
124,Algeria,28.0339,1.6596,Potatoes,1995,136768,89,2697.09,17.36
151,Algeria,28.0339,1.6596,Sorghum,2000,69500,89,603.67,17.9
175,Algeria,28.0339,1.6596,"Rice, paddy",2006,12769,89,4110.72,18.13
160,Algeria,28.0339,1.6596,"Rice, paddy",2002,12959,89,816.55,17.85
164,Algeria,28.0339,1.6596,Potatoes,2004,203585,89,3747.86,17.38
194,Algeria,28.0339,1.6596,Potatoes,2010,270526,89,1295.88,17.59
181,Algeria,28.0339,1.6596,Sorghum,2007,119059,89,5390.79,17.42
212,Algeria,28.0339,1.6596,Wheat,2013,19100,89,17278.65,17.65
144,Algeria,28.0339,1.6596,Potatoes,1999,153532,89,654.45,17.97
168,Algeria,28.0339,1.6596,Maize,2005,33864,89,3662.87,17.19
169,Algeria,28.0339,1.6596,Potatoes,2005,216267,89,3662.87,17.19
139,Algeria,28.0339,1.6596,Potatoes,1998,160256,89,322.84,17.14
171,Algeria,28.0339,1.6596,Sorghum,2005,33486,89,3662.87,17.19
203,Algeria,28.0339,1.6596,Maize,2012,25583,89,17379.76,17.91
204,Algeria,28.0339,1.6596,Potatoes,2012,304291,89,17379.76,17.91
205,Algeria,28.0339,1.6596,"Rice, paddy",2012,16667,89,17379.76,17.91
163,Algeria,28.0339,1.6596,Maize,2004,31729,89,3747.86,17.38
136,Algeria,28.0339,1.6596,Sorghum,1997,40000,89,401.22,17.84
127,Algeria,28.0339,1.6596,Wheat,1995,8924,89,2697.09,17.36
185,Algeria,28.0339,1.6596,"Rice, paddy",2008,13952,89,11556.12,17.55
117,Algeria,28.0339,1.6596,Sorghum,1993,50000,89,1021.89,17
143,Algeria,28.0339,1.6596,Maize,1999,22375,89,654.45,17.97
142,Algeria,28.0339,1.6596,Wheat,1998,8847,89,322.84,17.14
172,Algeria,28.0339,1.6596,Wheat,2005,15057,89,3662.87,17.19
107,Algeria,28.0339,1.6596,Sorghum,1991,24231,89,2461.8,16.26
108,Algeria,28.0339,1.6596,Wheat,1991,10809,89,2461.8,16.26
113,Algeria,28.0339,1.6596,Wheat,1992,9939,89,1215.47,16.27
184,Algeria,28.0339,1.6596,Potatoes,2008,236393,89,11556.12,17.55
158,Algeria,28.0339,1.6596,Maize,2002,33480,89,816.55,17.85
183,Algeria,28.0339,1.6596,Maize,2008,44714,89,11556.12,17.55
193,Algeria,28.0339,1.6596,Maize,2010,25827,89,1295.88,17.59
126,Algeria,28.0339,1.6596,Sorghum,1995,12667,89,2697.09,17.36
116,Algeria,28.0339,1.6596,"Rice, paddy",1993,23111,89,1021.89,17
211,Algeria,28.0339,1.6596,Sorghum,2013,60000,89,17278.65,17.65
180,Algeria,28.0339,1.6596,"Rice, paddy",2007,13375,89,5390.79,17.42
141,Algeria,28.0339,1.6596,Sorghum,1998,24500,89,322.84,17.14
115,Algeria,28.0339,1.6596,Potatoes,1993,111215,89,1021.89,17
125,Algeria,28.0339,1.6596,"Rice, paddy",1995,19598,89,2697.09,17.36
170,Algeria,28.0339,1.6596,"Rice, paddy",2005,12998,89,3662.87,17.19
207,Algeria,28.0339,1.6596,Wheat,2012,17639,89,17379.76,17.91
206,Algeria,28.0339,1.6596,Sorghum,2012,206000,89,17379.76,17.91
210,Algeria,28.0339,1.6596,"Rice, paddy",2013,17778,89,17278.65,17.65
99,Algeria,28.0339,1.6596,Maize,1990,16500,89,1828.92,17.48
140,Algeria,28.0339,1.6596,"Rice, paddy",1998,15000,89,322.84,17.14
159,Algeria,28.0339,1.6596,Potatoes,2002,183774,89,816.55,17.85
179,Algeria,28.0339,1.6596,Potatoes,2007,189927,89,5390.79,17.42
178,Algeria,28.0339,1.6596,Maize,2007,85625,89,5390.79,17.42
339,Angola,-11.2027,17.8739,Potatoes,2009,86509,1010,40,24.33
338,Angola,-11.2027,17.8739,Maize,2009,6614,1010,40,24.33
292,Angola,-11.2027,17.8739,"Rice, paddy",2002,13198,1010,40,24.79
340,Angola,-11.2027,17.8739,"Rice, paddy",2009,6028,1010,40,24.33
326,Angola,-11.2027,17.8739,Soybeans,2007,6883,1010,40,24.24
225,Angola,-11.2027,17.8739,Cassava,1992,42295,1010,23,23.96
278,Angola,-11.2027,17.8739,Soybeans,2000,2333,1010,40,24.41
279,Angola,-11.2027,17.8739,Sweet potatoes,2000,34938,1010,40,24.41
341,Angola,-11.2027,17.8739,Sorghum,2009,2480,1010,40,24.33
291,Angola,-11.2027,17.8739,Potatoes,2002,42754,1010,40,24.79
327,Angola,-11.2027,17.8739,Sweet potatoes,2007,58855,1010,40,24.24
343,Angola,-11.2027,17.8739,Sweet potatoes,2009,66475,1010,40,24.33
344,Angola,-11.2027,17.8739,Wheat,2009,10000,1010,40,24.33
250,Angola,-11.2027,17.8739,Maize,1996,6993,1010,40,24.11
215,Angola,-11.2027,17.8739,Potatoes,1990,40000,1010,64,24.12
285,Angola,-11.2027,17.8739,Sorghum,2001,3571,1010,40,24.43
286,Angola,-11.2027,17.8739,Soybeans,2001,2500,1010,40,24.43
316,Angola,-11.2027,17.8739,"Rice, paddy",2006,4947,1010,40,24.14
277,Angola,-11.2027,17.8739,Sorghum,2000,3333,1010,40,24.41
342,Angola,-11.2027,17.8739,Soybeans,2009,4449,1010,40,24.33
334,Angola,-11.2027,17.8739,Soybeans,2008,8575,1010,40,24.27
249,Angola,-11.2027,17.8739,Cassava,1996,48077,1010,40,24.11
353,Angola,-11.2027,17.8739,Cassava,2011,133649,1010,40,24.15
275,Angola,-11.2027,17.8739,Potatoes,2000,29885,1010,40,24.41
216,Angola,-11.2027,17.8739,"Rice, paddy",1990,9512,1010,64,24.12
335,Angola,-11.2027,17.8739,Sweet potatoes,2008,65437,1010,40,24.27
284,Angola,-11.2027,17.8739,"Rice, paddy",2001,13701,1010,40,24.43
329,Angola,-11.2027,17.8739,Cassava,2008,148084,1010,40,24.27
232,Angola,-11.2027,17.8739,Maize,1993,2627,1010,169,24.15
236,Angola,-11.2027,17.8739,Wheat,1993,8876,1010,169,24.15
346,Angola,-11.2027,17.8739,Maize,2010,7200,1010,40,24.44
293,Angola,-11.2027,17.8739,Sorghum,2002,3400,1010,40,24.79
294,Angola,-11.2027,17.8739,Soybeans,2002,2857,1010,40,24.79
295,Angola,-11.2027,17.8739,Sweet potatoes,2002,42190,1010,40,24.79
328,Angola,-11.2027,17.8739,Wheat,2007,10000,1010,40,24.24
272,Angola,-11.2027,17.8739,Wheat,1999,17391,1010,40,24.37
273,Angola,-11.2027,17.8739,Cassava,2000,82992,1010,40,24.41
214,Angola,-11.2027,17.8739,Maize,1990,2736,1010,64,24.12
337,Angola,-11.2027,17.8739,Cassava,2009,151759,1010,40,24.33
276,Angola,-11.2027,17.8739,"Rice, paddy",2000,13454,1010,40,24.41
290,Angola,-11.2027,17.8739,Maize,2002,6706,1010,40,24.79
297,Angola,-11.2027,17.8739,Cassava,2004,125605,1010,40,24.22
298,Angola,-11.2027,17.8739,Maize,2004,5404,1010,40,24.22
299,Angola,-11.2027,17.8739,Potatoes,2004,20150,1010,40,24.22
300,Angola,-11.2027,17.8739,"Rice, paddy",2004,11584,1010,40,24.22
217,Angola,-11.2027,17.8739,Sweet potatoes,1990,89342,1010,64,24.12
251,Angola,-11.2027,17.8739,Potatoes,1996,70000,1010,40,24.11
252,Angola,-11.2027,17.8739,"Rice, paddy",1996,17500,1010,40,24.11
253,Angola,-11.2027,17.8739,Sweet potatoes,1996,85455,1010,40,24.11
254,Angola,-11.2027,17.8739,Wheat,1996,13738,1010,40,24.11
313,Angola,-11.2027,17.8739,Cassava,2006,117201,1010,40,24.14
315,Angola,-11.2027,17.8739,Potatoes,2006,52148,1010,40,24.14
282,Angola,-11.2027,17.8739,Maize,2001,5754,1010,40,24.43
213,Angola,-11.2027,17.8739,Cassava,1990,41177,1010,64,24.12
370,Angola,-11.2027,17.8739,Maize,2013,9467,1010,40,24.55
330,Angola,-11.2027,17.8739,Maize,2008,7946,1010,40,24.27
331,Angola,-11.2027,17.8739,Potatoes,2008,85085,1010,40,24.27
332,Angola,-11.2027,17.8739,"Rice, paddy",2008,5084,1010,40,24.27
287,Angola,-11.2027,17.8739,Sweet potatoes,2001,44458,1010,40,24.43
288,Angola,-11.2027,17.8739,Wheat,2001,16667,1010,40,24.43
376,Angola,-11.2027,17.8739,Wheat,2013,9022,1010,40,24.55
306,Angola,-11.2027,17.8739,Maize,2005,6736,1010,40,24.41
336,Angola,-11.2027,17.8739,Wheat,2008,10000,1010,40,24.27
274,Angola,-11.2027,17.8739,Maize,2000,5745,1010,40,24.41
283,Angola,-11.2027,17.8739,Potatoes,2001,42552,1010,40,24.43
244,Angola,-11.2027,17.8739,Maize,1995,3517,1010,336,24.56
369,Angola,-11.2027,17.8739,Cassava,2013,140517,1010,40,24.55
312,Angola,-11.2027,17.8739,Wheat,2005,10946,1010,40,24.41
321,Angola,-11.2027,17.8739,Cassava,2007,115387,1010,40,24.24
322,Angola,-11.2027,17.8739,Maize,2007,5091,1010,40,24.24
323,Angola,-11.2027,17.8739,Potatoes,2007,62138,1010,40,24.24
347,Angola,-11.2027,17.8739,Potatoes,2010,87425,1010,40,24.44
348,Angola,-11.2027,17.8739,"Rice, paddy",2010,7403,1010,40,24.44
349,Angola,-11.2027,17.8739,Sorghum,2010,2814,1010,40,24.44
350,Angola,-11.2027,17.8739,Soybeans,2010,4446,1010,40,24.44
351,Angola,-11.2027,17.8739,Sweet potatoes,2010,63001,1010,40,24.44
223,Angola,-11.2027,17.8739,Sweet potatoes,1991,83001,1010,79,24.02
314,Angola,-11.2027,17.8739,Maize,2006,4687,1010,40,24.14
281,Angola,-11.2027,17.8739,Cassava,2001,94072,1010,40,24.43
289,Angola,-11.2027,17.8739,Cassava,2002,110071,1010,40,24.79
245,Angola,-11.2027,17.8739,Potatoes,1995,76738,1010,336,24.56
246,Angola,-11.2027,17.8739,"Rice, paddy",1995,14615,1010,336,24.56
