Crop,Nitrogen ,Phosphorous,Potassium,temperature,humidity,pH,rainfall,yield_kg_ha,yield_category
maize,75,32.3,130.6,25.7,69.5,6.84,171.5,6062,High
cotton,78.9,48.8,105.7,28.9,33.3,6,63.6,1789,High
rice,101.3,58.8,142.5,31.3,74.9,5.69,156.6,5697,High
coffee,108.8,26.6,100.9,25.5,89.3,5.79,126.4,1579,Low
cotton,70.5,32.2,90.8,23.8,32.8,6.83,92.4,1930,High
coffee,98.7,34.9,102.2,25.7,88.9,6.56,144.4,1675,High
chickpea,43.6,26.9,43.7,26.9,35.6,6.17,67.4,1726,Low
maize,115,35.4,87.4,18.5,73.3,6.48,198.3,6558,High
cotton,50.7,43.9,96.4,27.7,32.8,7.28,71.6,1750,High
wheat,97,25.1,93.9,18.9,54,6.78,128.8,4465,Low
chickpea,48.7,39.2,79.9,21,42.2,6.27,86,1780,High
maize,121.1,40.1,134.6,25,75.5,6.18,139.9,6004,Low
rice,99,58.1,100.4,28.2,76.4,6.35,174.7,5788,High
sugarcane,127.2,34.9,185.2,31.1,84.6,6.79,279.5,71783,Low
maize,73.5,36,112.4,22.1,75.3,6.47,172.2,7024,High
rice,86.5,46.9,99.7,29.9,88.2,6.12,166.2,5423,Low
sugarcane,130.6,32.6,100.1,24.5,86.8,6.97,147.5,79779,High
coffee,94.5,24.9,110.1,21,78.6,5.41,180,1579,Low
rice,119.7,42.3,134.9,30,80.2,6.17,175,5422,Low
cotton,91,24.5,127.3,24.5,36,7.22,113,1746,High
rice,106.6,29.1,118.8,22.8,90.7,5.72,263.7,4802,Low
cotton,106.1,34,73.8,27.3,41.8,5.76,53,1868,High
sugarcane,129.8,34.5,183.3,24.1,72.7,6.83,200.1,84071,High
sugarcane,139.4,36.7,114.7,32.3,84.7,6.81,251.1,78879,High
cotton,60.6,40.3,119.2,22.6,43.5,7.28,100,1821,High
maize,109.4,26.1,80.3,18.6,68.2,7.1,108.6,6188,Low
maize,81.5,25.7,135.6,23.4,59.2,6.7,80.9,6831,High
coffee,84.1,33.7,93.2,20.9,71.7,5.59,130.1,1789,High
cotton,62.7,34.1,111.3,34.3,41.4,6.53,99.3,1863,High
chickpea,25.5,42.6,30.5,19.9,30.9,6.22,89.6,1687,Low
maize,93.6,27.4,125.3,23.2,64.1,5.8,101.7,6430,Low
chickpea,33.2,42.9,32.4,22.6,51.3,6.3,43.8,1617,Low
rice,88.4,28,80.5,31.4,86.6,5.82,267.1,5677,High
chickpea,33,42.3,56.5,25.4,47.7,7.31,64,1595,Low
cotton,66.7,26.1,73,29.3,44.1,6.02,43.6,1760,High
maize,81,54.4,107.5,27.4,69.1,6.64,97.4,6568,High
rice,107.5,42.7,89.8,23.4,86.7,5.54,234.8,5844,High
maize,70.9,49.8,131.4,22.5,54.6,6.7,94.4,6975,High
rice,95.7,57.5,96.9,23.5,90.8,5.18,176.9,5524,High
coffee,66.4,29.6,81.6,18.8,86,6.16,166.6,1580,Low
chickpea,51.4,28.2,53.8,27.9,50.2,7.63,112.2,1863,High
potato,101.3,47.4,171.6,13.3,62.8,6.39,98.5,24448,Low
wheat,86.5,29.1,115.1,21.4,43.3,7.5,139.1,4580,Low
sugarcane,117.9,44.7,121.9,24.5,82.5,6.18,133.8,75145,High
cotton,77.5,23.9,70.7,30.9,41.8,7.34,65.5,1728,Low
coffee,71.3,33.1,126.7,21,83.1,6.15,143.8,1576,Low
wheat,79.7,36.1,110.9,19.8,64.1,6.8,117,4451,Low
potato,71.8,29.9,151.1,19.4,65.3,6.12,182.1,25761,Low
sugarcane,100.1,30.3,133.6,31.6,85.2,6.21,243.9,83453,High
maize,126.8,34,114.7,26.4,69.5,7.38,97.8,6161,Low
coffee,62.2,32,89.4,25.6,77.3,6.5,142.1,1602,High
coffee,76,39.6,110.4,21.5,66.9,6.39,142,1670,High
maize,120.2,54.7,113.4,28.1,79.7,5.78,133.8,6368,Low
chickpea,59.9,36,59.8,21.9,57.5,6.99,50.7,1797,High
rice,121.8,37.8,106.7,25.6,85.8,5.52,163.1,5413,Low
chickpea,34.6,17,40.1,18.2,43.6,7.27,67.5,1716,Low
rice,125.9,45.4,118.8,28.7,77.6,4.92,215.5,5282,Low
rice,99.8,25.8,87.2,29.1,74.3,6.21,237.2,4927,Low
coffee,95.3,29.1,124.2,18.4,88.1,6.55,135.3,1579,Low
potato,78.5,30.9,104.6,21.4,70.1,6.05,161.8,27846,Low
cotton,109.3,44.5,111.9,28.6,34.6,7.34,67.3,1698,Low
wheat,67.4,47.8,83.9,15.6,54.7,6.99,146,4170,Low
chickpea,25.7,35.8,38.6,23.1,59.8,6.01,41.3,1695,Low
maize,112.1,44.4,119.1,21.8,73.6,6.6,131.8,6563,High
potato,81.3,48.8,167.8,21.9,81.8,6.24,117.7,23793,Low
potato,107.6,34.4,121.8,11.6,71,5.34,124.3,29528,High
rice,87.1,58.5,143.6,30.4,76.6,6.22,266.8,5336,Low
wheat,62.6,25.4,74.2,15,57.1,6.62,64.4,4069,Low
wheat,79.6,31.4,101.1,15.6,68.5,7.37,103.3,4475,Low
potato,81.8,47.9,174.4,16,76.1,6,199.9,26219,Low
wheat,77.2,47.7,61.5,18.7,59,6.16,72.6,4178,Low
cotton,53,30.3,115.6,30.7,52.5,7.09,57,1805,High
sugarcane,126.6,38.2,188.8,33.2,63,6.16,138.5,76953,High
sugarcane,127.9,43.4,124.4,33,87.7,7.26,276.5,80657,High
rice,116,55,93.8,25.7,89.4,6.31,225.1,6010,High
maize,79.3,47,91.6,21.2,71.3,7.46,153.4,6300,Low
chickpea,49,36.2,66.9,21.2,56.7,7.19,50.1,1739,Low
potato,100.7,51.7,172.7,19.5,71.5,5.12,81.9,26463,Low
rice,123,38,99.1,23.2,92.6,5.62,180.4,5472,High
cotton,103.3,31.8,82.3,30.5,47.4,6.32,88.1,1767,High
wheat,77,45.1,66.4,24,60,6.98,68.1,4028,Low
coffee,82.6,37,97.7,23.3,76.6,5.81,164.9,1808,High
wheat,87.2,27.4,74.2,21,64.5,6.16,66,4720,High
chickpea,26.5,38.2,72.8,20.5,57.6,6.91,88.3,1748,Low
coffee,66.3,43.9,102.7,22.3,87,6.55,211.6,1575,Low
potato,87.4,44.9,153.7,21.5,69.3,5.39,177.5,26736,Low
wheat,108,34.8,96,23.2,43.6,6.18,67.9,4016,Low
coffee,63,45,79.3,22.3,87.5,6.12,171.6,1593,High
sugarcane,94.1,32.1,100.1,27.2,83.2,6.05,224.4,74330,Low
chickpea,57,39.7,31.8,21.7,31.5,6.22,94,1703,Low
maize,86.7,46.1,118,29.8,68.6,6.46,171.4,7067,High
sugarcane,131.2,56.1,199.2,34,75.5,6.14,236.5,74543,Low
potato,95.3,47.1,136.8,12.6,78.6,5.14,103.8,28444,High
potato,113.1,44.3,155.2,21.8,70.3,5.33,190.8,26284,Low
chickpea,48.5,38.2,73.3,25.4,54,6.1,58.8,1883,High
cotton,105,29.6,102.6,28.5,42,6.56,55,1705,Low
sugarcane,96.9,45.6,199.9,24.3,64.6,6.63,219.1,73153,Low
coffee,86.1,26.4,78.4,19.5,70.3,5.34,243.2,1470,Low
sugarcane,119.5,65.7,114.4,32.5,62.9,6.23,205.4,78766,High
wheat,95.7,24.4,109.5,15.7,44.3,7.38,74.9,4476,Low
sugarcane,116.9,45.7,187.5,33.7,86.2,6.29,155.3,72430,Low
chickpea,59.7,32.5,36.3,27,56.4,7.07,89.7,1926,High
sugarcane,98.1,64.4,132,26.3,61.7,6.54,162.4,73905,Low
coffee,64.7,46,112.5,24.6,89.3,6.31,242.6,1433,Low
cotton,103.8,23,78.5,33.9,35.4,6.33,76,1733,Low
wheat,95.6,43.5,107.7,23.4,47.6,6.89,68.6,4382,Low
cotton,72.3,32.1,113.2,32.8,36.2,7.38,49.7,1753,High
rice,91.4,25.2,113.3,24.7,86.7,5.41,274.9,6162,High
rice,117.6,43.4,125.5,23,80.4,4.91,224.1,5791,High
chickpea,36.6,24.5,33.9,18.3,40.4,6.04,53.2,1919,High
